instruction,model_output,parsed_title,title_in_dataset,matched_by,satisfied_by_returned,dataset_has_any_matching,hallucinated,constraints,claims,mentioned_ingredients,corrected_output,correction_type,correction_reason
Suggest a ingredients recipe under 182 calories.,"Peanut Butter Balls - 182.4 calories, 3.1g protein, ready in 30 minutes.",Peanut Butter Balls,True,exact,False,True,False,{'calories_max': 182.0},"{'calories': 182.4, 'protein': 3.1, 'duration': 30.0}",[],"Peanut Butter Balls - 1532 calories, 36.4g protein, 942mg sodium, ready in 70 minutes. Ingredients: {'': [('creamy peanut butter (2 1/4 cups)', '18  time(s) ounces '), ('butter, softened', '0.5 time(s) cup '), ('rice krispies', '2 1/2 time(s) cups '), ('powdered sugar (3 3/4 cups, slightly under)', '1  time(s) lb '), ('melted (see instructions)', ' time(s) chocolate, for dipping ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Recommend a high-fiber recipe with at least 6g fiber.,"Gingerbread Loaf - 7.9g dietary fiber, 334.7 calories, 62.1g total carbs.",Gingerbread Loaf,True,exact,False,True,False,{'fiber_min': 6.0},"{'calories': 334.7, 'fiber': 7.9}",[],"Gingerbread Loaf - 276 calories, 4.5g protein, 174mg sodium, ready in 75 minutes, serves 18. Ingredients: {'': [('flour', '4  time(s) cups '), ('sugar', '2  time(s) cups '), ('baking powder', '4  time(s) teaspoons '), ('ground cinnamon', '2  time(s) teaspoons '), ('ground cloves', '1 1/4 time(s) teaspoons '), ('ground nutmeg', '1 1/4 time(s) teaspoons '), ('baking soda', '1  time(s) teaspoon '), ('ground ginger', '1  time(s) teaspoon '), ('eggs', '2 time(s) '), ('milk', '2  time(s) cups '), ('maple syrup', '1  time(s) cup '), ('vegetable oil', '2  time(s) tablespoons ')]}",fix_claims,numeric claims diverged (matched_by=exact)
List a low-sodium recipe under 268mg sodium.,"Lime Jello Cake - 261.6mg sodium, 244.1 calories, 45 minutes prep time.",Lime Jello Cake,True,fuzzy,False,True,False,"{'calories_max': 268.0, 'sodium_max': 268.0}","{'calories': 244.1, 'sodium': 261.6, 'duration': 45.0}",[],"Lime Jelly Roll Cake - 536 calories, 6.9g protein, 169mg sodium, ready in 60 minutes, serves 8. Ingredients: {'cake': [('eggs, room temperature', '5 time(s) '), ('sugar', '1 time(s) cup '), ('salt', '/ time(s) teaspoon '), ('cake flour, sifted', '1 time(s) cup '), ('baking powder', '1 time(s) teaspoon '), ('lime zest', '1 time(s) tablespoon '), ('vanilla', '1 time(s) teaspoon ')], 'filling': [('sugar', '1 1/2 time(s) cups '), ('yolks', '4 time(s) egg '), ('key lime juice', '1 time(s) cup '), ('lime zest', '2 time(s) tablespoons '), ('unsalted butter', '/ time(s) cup '), ('lightly sweetened whipped cream, whipped with 1 tbsp instant vanilla pudding as a stabilizer if desired', '1 time(s) cup ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
Recommend a quick recipe that takes less than 25 minutes.,"Egg Salad - Takes 20 minutes, 235.1 calories, serves 1.",Egg Salad,True,exact,True,True,False,{'duration_max': 25.0},"{'calories': 235.1, 'duration': 20.0, 'serves': 1.0}",[],"Egg Salad - 78 calories, 6.9g protein, 201mg sodium, ready in 25 minutes, serves 4. Ingredients: {'': [(""whole eggs, eggland's natural eggs"", '3  time(s) '), (""whites, eggland's natural eggs"", '2  time(s) egg '), ('pickle spears, chopped', '3  time(s) '), ('onion, chopped finely', '0.25 time(s) cup '), ('mustard', '2  time(s) tablespoons '), ('black olives, chopped finely', '2  time(s) tablespoons ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Recommend a quick recipe that takes less than 45 minutes.,"Cinnamon Sugar Pull-Apart Bread - Takes 35 minutes, 270.5 calories, serves 1.",Cinnamon Sugar Pull,True,substring,True,True,False,{'duration_max': 45.0},"{'calories': 270.5, 'duration': 35.0, 'serves': 1.0}",[],"Cinnamon Sugar Pull Apart Loaf - 2298 calories, 22.3g protein, 4418mg sodium, ready in 42 minutes. Ingredients: {'': [('sugar', '0.5 time(s) cup '), ('ground cinnamon', '2 1/2 time(s) teaspoons '), ('butter or 1/2 cup $template2$, melted', '0.5 time(s) cup '), ('hungry jack refrigerated buttermilk biscuits', '1 time(s) (12 ounce) can ')]}",fix_claims,numeric claims diverged (matched_by=substring)
Recommend a quick recipe that takes less than 15 minutes.,"Broccoli and Cheddar Soup - Takes 10 minutes, 100.1 calories, serves 2.",Broccoli and Cheddar Soup,True,exact,False,True,False,{'duration_max': 15.0},"{'calories': 100.1, 'duration': 10.0, 'serves': 2.0}",[],"Broccoli and Cheddar Soup - 569 calories, 23.0g protein, 1062mg sodium, ready in 65 minutes, serves 16. Ingredients: {'': [('butter, melted', '1  time(s) cup '), ('flour', '1  time(s) cup '), ('half-and-half', '8  time(s) cups '), ('chicken broth', '8  time(s) cups '), ('broccoli, chopped', '2  time(s) lbs '), ('carrots, shredded', '4  time(s) cups '), ('sharp cheddar cheese, shredded', '8  time(s) cups '), ('salt', '1  time(s) teaspoon '), ('pepper', '1  time(s) teaspoon '), ('nutmeg', '1  time(s) teaspoon '), ('cayenne', '1  time(s) teaspoon ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a balanced meal with moderate calories and good protein.,"Chicken Sausage With Apples - 264.0 calories, 14.8g protein, 12.2g fat, 27.1g carbs.",Chicken Sausage With Apples,True,substring,True,True,False,{'balanced': True},"{'calories': 264.0, 'protein': 14.8, 'carbs': 27.1, 'total_fat': 12.2}",['apples - 264'],"Smoked Chicken Sausage With Apples & Cabbage - 243 calories, 10.8g protein, 804mg sodium, ready in 50 minutes, serves 5. Ingredients: {'': [('package smoked chicken sausage (i used grandessa brand sweet,apple gouda)', '1 time(s) (13 ounce) '), ('shredded cabbage', '3  time(s) cups '), ('large granny smith apple, chopped', '1  time(s) '), ('medium onion, chopped', '0.5 time(s) '), ('margarine', '1  time(s) tablespoon '), ('canola oil', '1  time(s) tablespoon '), ('apple cider', '1  time(s) cup ')]}",fix_claims,numeric claims diverged (matched_by=substring)
Suggest a balanced meal with moderate calories and good protein.,"Cheddar Cheese Balls - 123.9 calories, 5.0g protein, 5.2g fat, 10.8g carbs.",Cheddar Cheese Balls,True,exact,False,True,False,{'balanced': True},"{'calories': 123.9, 'protein': 5.0, 'carbs': 10.8, 'total_fat': 5.2}",[],"Cheddar Cheese Balls - 164 calories, 5.8g protein, 229mg sodium, ready in 285 minutes, serves 6. Ingredients: {'': [('finely shredded cheddar cheese', '1  time(s) cup '), ('package cream cheese', '1 time(s) (3 ounce) '), ('butter', '2  time(s) tablespoons '), ('milk or 1 tablespoon $template2$', '1  time(s) tablespoon '), ('finely chopped green onion', '1  time(s) tablespoon '), ('diced pimento', '1  time(s) tablespoon '), ('worcestershire sauce', '1  time(s) tablespoon '), ('dash bottled hot pepper sauce', '1  time(s) '), ('finely chopped $template2$ or 1/3-1/2 cup $template3$', '1/3-1/ time(s) 1/3-1/2 cup '), ('assorted cracker', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
List a low-sodium recipe under 64mg sodium.,"Chopped Salad With Avocado and Bacon - 59.9mg sodium, 244.1 calories, 35 minutes prep time.",Chopped Salad With Avocado and Bacon,False,,False,True,False,"{'calories_max': 64.0, 'sodium_max': 64.0}","{'calories': 244.1, 'sodium': 59.9, 'duration': 35.0}","['avocado', 'bacon - 59']","Indian Spiced Popcorn - 32 calories, 1.1g protein, 1mg sodium, ready in 10 minutes, serves 12. Ingredients: {'': [('curry powder', '0.5 time(s) teaspoon '), ('garam masala', '0.5 time(s) teaspoon '), ('ground turmeric', '0.25 time(s) teaspoon '), ('black pepper', '0.25 time(s) teaspoon '), ('popped popcorn', '12  time(s) cups '), ('spray', ' time(s) nonstick cooking ')]}",replace_with_dataset,hallucinated title but dataset had a recipe satisfying constraints
Find a high-protein recipe with at least 12g protein.,"Chicken and Vegetable Casserole - 14.4g protein, 228.7 calories, 11.1g fat, 12.6g carbs.",Chicken and Vegetable Casserole,True,exact,True,True,False,{'protein_min': 12.0},"{'calories': 228.7, 'protein': 14.4, 'carbs': 12.6, 'total_fat': 11.1}",[],"Chicken and Vegetable Casserole - 436 calories, 27.2g protein, 372mg sodium, ready in 165 minutes, serves 8. Ingredients: {'': [('olive oil', '1  time(s) tablespoon '), ('chicken thigh, skin off, cut into 2cm cubes', '1  time(s) kg '), ('brown onions, sliced', '2  time(s) '), ('carrots, thickly sliced', '2  time(s) '), ('celery ribs, thickly sliced', '4  time(s) '), ('slices bacon, trimmed and chopped', '8  time(s) '), ('garlic cloves, crushed', '4  time(s) '), ('fresh sage leaf, roughly chopped', '0.5 time(s) cup '), ('dry white wine', '1  time(s) cup '), ('plain flour', '0.5 time(s) cup '), ('liter chicken stock', '1  time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Recommend a quick recipe that takes less than 65 minutes.,"Chicken and Rice Casserole - Takes 60 minutes, 345.0 calories, serves 6.",Chicken and Rice Casserole,True,exact,True,True,False,{'duration_max': 65.0},"{'calories': 345.0, 'duration': 60.0, 'serves': 6.0}",[],"Chicken and Rice Casserole - 456 calories, 23.1g protein, 1218mg sodium, ready in 65 minutes, serves 4. Ingredients: {'': [('chicken thighs (or pieces of choice, remember it has to fit in a 9x9 pan)', '4  time(s) '), ('cream of mushroom soup', '10 3/4 time(s) ounces '), ('full)', '1 1/3 time(s) cups milk (or 1 soup can '), ('full)', '1 1/3 time(s) cups instant rice (or 1 soup can '), ('package onion soup mix', '1 time(s) (1 ounce) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
List a low-sodium recipe under 906mg sodium.,"Mashed Potatoes - 900.4mg sodium, 265.4 calories, 45 minutes prep time.",Mashed Potatoes,True,exact,False,True,False,"{'calories_max': 906.0, 'sodium_max': 906.0}","{'calories': 265.4, 'sodium': 900.4, 'duration': 45.0}",[],"Mashed Potatoes - 416 calories, 23.2g protein, 908mg sodium, ready in 45 minutes, serves 8. Ingredients: {'': [('butter', '0.5 time(s) cup '), ('parmesan cheese', '8  time(s) ounces '), ('romano cheese', '8  time(s) ounces '), ('milk', '2  time(s) cups '), ('dash salt', '1  time(s) '), ('dash pepper', '1  time(s) '), ('potato', '1  time(s) lb ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a ingredients recipe around 405 calories.,"Peanut Butter Oatmeal Cookies - 405.4 calories, 5.8g protein, ready in 35 minutes.",Peanut Butter Oatmeal Cookies,True,exact,False,True,False,"{'calories_min': 355.0, 'calories_max': 455.0}","{'calories': 405.4, 'protein': 5.8, 'duration': 35.0}",[],"Peanut Butter Oatmeal Cookies - 1730 calories, 30.7g protein, 1672mg sodium, ready in 50 minutes. Ingredients: {'': [('creamy peanut butter', '0.5 time(s) cup '), ('butter', '0.5 time(s) cup '), ('brown sugar', '1  time(s) cup '), ('white sugar', '0.75 time(s) cup '), ('egg', '1 time(s) '), ('vanilla extract', '2  time(s) teaspoons '), ('flour', '1 1/2 time(s) cups '), ('baking soda', '1  time(s) teaspoon '), ('salt', '1  time(s) teaspoon '), ('oatmeal', '2  time(s) cups '), ('chocolate chips', '1 -2  time(s) cup ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a balanced meal with moderate calories and good protein.,"Veggie Frittata - 170.0 calories, 12.7g protein, 8.4g fat, 2.6g carbs.",Veggie Frittata,True,exact,True,True,False,{'balanced': True},"{'calories': 170.0, 'protein': 12.7, 'carbs': 2.6, 'total_fat': 8.4}",[],"Veggie Frittata - 545 calories, 22.1g protein, 802mg sodium, ready in 43 minutes, serves 2. Ingredients: {'': [('olive oil', '0.25 time(s) cup '), ('medium onion, finely chopped', '1  time(s) '), ('small carrot, grated', '1  time(s) '), ('small zucchini, grated', '1  time(s) '), ('butternut squash, grated', '1  time(s) cup '), ('jarlsberg cheese, grated', '4  time(s) tablespoons '), ('salt', '0.5 time(s) teaspoon '), ('black pepper', '0.5 time(s) teaspoon '), ('eggs, beaten', '5  time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Find a high-protein recipe with at least 64g protein.,"Grilled Chicken & Fennel - 70.2g protein, 361.4 calories, 19.2g fat, 5.8g carbs.",Grilled Chicken & Fennel,True,fuzzy,False,True,False,{'protein_min': 64.0},"{'calories': 361.4, 'protein': 70.2, 'carbs': 5.8, 'total_fat': 19.2}",[],"Grilled Chicken With Fennel - 184 calories, 28.4g protein, 122mg sodium, ready in 20 minutes, serves 6. Ingredients: {'': [('boneless skinless chicken breast halves', '6  time(s) '), ('fennel seed (optional)', '0.25 time(s) cup '), ('olive oil', '1  time(s) tablespoon '), ('large fennel bulbs, sliced thick, steamed until crisp-tender', '2  time(s) '), ('black pepper', '0.25 time(s) teaspoon '), ('tangerine, peeled and sectioned (for garnish)', '1  time(s) ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
Find a high-protein recipe with at least 18g protein.,"Easy Homemade Granola - 21.3g protein, 375.8 calories, 10.8g fat, 51.4g carbs.",Easy Homemade Granola,True,exact,False,True,False,{'protein_min': 18.0},"{'calories': 375.8, 'protein': 21.3, 'carbs': 51.4, 'total_fat': 10.8}",[],"Easy Homemade Granola - 108 calories, 2.0g protein, 118mg sodium, ready in 30 minutes, serves 20. Ingredients: {'': [('rolled oats', '2  time(s) cups '), ('cinnamon', '1  time(s) teaspoon '), ('salt', '1  time(s) teaspoon '), ('canola oil', '3  time(s) tablespoons '), ('honey', '0.25 time(s) cup '), ('light brown sugar', '0.25 time(s) cup '), ('pure vanilla extract', '1  time(s) teaspoon '), ('whole almond', '0.3333333333333333 time(s) cup '), ('walnut pieces', '0.3333333333333333 time(s) cup '), ('raisins', '0.3333333333333333 time(s) cup '), ('dried cranberries', '0.3333333333333333 time(s) cup ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a balanced meal with moderate calories and good protein.,"Sweet Potato and Pecan Bake - 192.3 calories, 1.3g protein, 8.5g fat, 26.9g carbs.",Sweet Potato and Pecan Bake,True,fuzzy,False,True,False,{'balanced': True},"{'calories': 192.3, 'protein': 1.3, 'carbs': 26.9, 'total_fat': 8.5}",[],"Sweet Potato and Mango Bake - 242 calories, 2.8g protein, 361mg sodium, ready in 90 minutes, serves 4. Ingredients: {'': [('butter, softened to grease pan', '1  time(s) tablespoon '), ('large sweet potatoes, chopped 2-inch pieces', '2  time(s) '), ('large sweet onion, chopped 2-inch pieces', '1  time(s) '), ('orange bell pepper, sweet, chopped 2-inch pieces (may sub with yellow pepper)', '0.5 time(s) cup '), ('red sweet pepper, chopped 2-inch pieces', '0.5 time(s) cup '), ('fresh ginger, minced', '1  time(s) teaspoon '), ('golden raisin, cut in half', '0.125 time(s) cup '), ('mango, chopped 2-inch pieces', '1  time(s) cup '), ('sea salt', '0.5 time(s) teaspoon '), ('pepper, freshly ground', '0.5 time(s) teaspoon '), ('nutmeg, freshly ground', '0.25 time(s) teaspoon '), ('brown sugar', '0.25 time(s) cup '), ('flour', '2  time(s) tablespoons '), ('mango juice or 1 cup orange juice', '1  time(s) cup '), ('white vinegar', '2  time(s) tablespoons '), ('unsalted butter, diced', '1  time(s) tablespoon ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
Suggest a ingredients recipe under 261 calories.,"Eggnog Pound Cake - 261.2 calories, 2.5g protein, ready in 75 minutes.",Eggnog Pound Cake,True,exact,False,True,False,{'calories_max': 261.0},"{'calories': 261.2, 'protein': 2.5, 'duration': 75.0}",[],"Eggnog Pound Cake - 296 calories, 3.9g protein, 210mg sodium, ready in 60 minutes, serves 12. Ingredients: {'': [('cake flour', '2 1/4 time(s) cups '), ('baking powder', '1  time(s) tablespoon '), ('salt', '0.5 time(s) teaspoon '), ('ground cinnamon', '0.5 time(s) teaspoon '), ('nutmeg, grated', '0.5 time(s) teaspoon '), ('ground ginger', '0.25 time(s) teaspoon '), ('pinch ground cloves', '1  time(s) '), ('eggnog (full-fat or light version but not fat free)', '0.75 time(s) cup '), ('vanilla', '2  time(s) teaspoons '), ('unsalted butter, at room temperature', '0.75 time(s) cup '), ('granulated sugar', '1  time(s) cup '), ('large eggs', '2  time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Find a high-protein recipe with at least 3g protein.,"Korean Beef and Noodles - 4.8g protein, 268.3 calories, 10.5g fat, 26.4g carbs.",Korean Beef and Noodles,True,exact,True,True,False,{'protein_min': 3.0},"{'calories': 268.3, 'protein': 4.8, 'carbs': 26.4, 'total_fat': 10.5}",[],"Korean Beef and Noodles - 349 calories, 18.9g protein, 946mg sodium, ready in 25 minutes, serves 4. Ingredients: {'beef': [('cornstarch', '1 time(s) teaspoon '), ('beef eye round, trimmed and thinly sliced', '8 time(s) ounces '), ('low sodium soy sauce', '1 time(s) tablespoon '), ('minced peeled fresh ginger', '1 1/2 time(s) teaspoons '), ('sambal oelek or 2 teaspoons thai chili paste', '2 time(s) teaspoons '), ('dark sesame oil', '/ time(s) teaspoon '), ('garlic cloves, minced', '3 time(s) '), ('spray', ' time(s) cooking ')], 'vegetables': [('dark sesame oil', '1 time(s) teaspoon '), ('vegetable oil', '1 time(s) teaspoon '), ('crushed red pepper flakes', '/ time(s) teaspoon '), ('garlic cloves, minced', '5 time(s) '), ('sliced shiitake mushroom caps about 6 ounces mushrooms', '3 time(s) cups '), ('diagonally sliced green onion', ' time(s) '), ('julienne-cut carrot', ' time(s) '), ('fresh spinach', ' time(s) 10 ounce bag ')], 'remaining ingredients': [('low sodium soy sauce', '0.3333333333333333 time(s) cup '), ('brown sugar', '1  time(s) tablespoon '), ('rice vinegar', '1  time(s) tablespoon '), ('dark sesame oil', '1  time(s) tablespoon '), ('sesame seeds, toasted', '1  time(s) tablespoon ')], 'noodles': [('package uncooked cellophane noodles', ' time(s) 3 3/4 ounce ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Find a high-protein recipe with at least 6g protein.,"Easy Cinnamon Rolls - 8.2g protein, 276.8 calories, 15.8g fat, 28.3g carbs.",Easy Cinnamon Rolls,True,exact,False,True,False,{'protein_min': 6.0},"{'calories': 276.8, 'protein': 8.2, 'carbs': 28.3, 'total_fat': 15.8}",[],"Easy Cinnamon Rolls - 184 calories, 0.5g protein, 48mg sodium, ready in 45 minutes, serves 16. Ingredients: {'': [('loaf frozen white bread dough, thawed in refrigerator', '1  time(s) '), ('surface', ' time(s) flour, for dusting ')], 'filling': [('packed brown sugar', '1 time(s) cup '), ('ground cinnamon', '1 time(s) tablespoon '), ('butter, softened', '/ time(s) cup ')], 'icing': [('unsalted butter, softened', '/ time(s) cup '), ('powdered sugar', '1 time(s) cup '), ('cream cheese', '/ time(s) cup '), ('vanilla extract', '1 time(s) teaspoon ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a ingredients recipe under 174 calories.,"Cucumber Salad With Dill - 174.2 calories, 1.3g protein, ready in 15 minutes.",Cucumber Salad With Dill,True,exact,True,True,False,{'calories_max': 174.0},"{'calories': 174.2, 'protein': 1.3, 'duration': 15.0}",['dill - 174'],"Cucumber Salad With Dill - 159 calories, 3.4g protein, 34mg sodium, ready in 10 minutes. Ingredients: {'': [('low-fat sour cream', '16  time(s) ounces '), ('lemon juice', '0.5 time(s) cup '), ('sugar substitute (sugar twin, sweet &amp; low, etc.)', '4  time(s) tablespoons '), ('garlic salt', '2  time(s) teaspoons '), ('dill weed', '1  time(s) teaspoon '), ('cucumbers, sliced with seeds removed', '2  time(s) '), ('large red onion, sliced thin and separated into rings', '1  time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a ingredients recipe under 237 calories.,"Tuna Salad - 237.5 calories, 14.5g protein, ready in 10 minutes.",Tuna Salad,True,exact,True,True,False,{'calories_max': 237.0},"{'calories': 237.5, 'protein': 14.5, 'duration': 10.0}",[],"Tuna Salad - 170 calories, 20.3g protein, 444mg sodium, ready in 5 minutes, serves 2. Ingredients: {'': [('solid white tuna packed in water, drained', '1 time(s) (6 ounce) can '), ('mayonnaise', '2  time(s) tablespoons '), ('dijon mustard', '0.5 time(s) teaspoon '), ('grated carrots', '2  time(s) tablespoons '), ('salt & freshly ground black pepper', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Recommend a quick recipe that takes less than 60 minutes.,"Honey Mustard Chicken Salad - Takes 50 minutes, 270.3 calories, serves 4.",Honey Mustard Chicken Salad,True,exact,True,True,False,{'duration_max': 60.0},"{'calories': 270.3, 'duration': 50.0, 'serves': 4.0}",[],"Honey Mustard Chicken Salad - 242 calories, 18.5g protein, 358mg sodium, ready in 20 minutes, serves 10. Ingredients: {'': [('shredded romaine lettuce', '4  time(s) cups '), ('coleslaw mix', '1 time(s) (16 ounce) bag '), ('diced cooked chicken', '4  time(s) cups '), ('sliced green onion (about 8 medium)', '0.5 time(s) cup '), ('packages oriental-flavor ramen noodles', '2 time(s) (3 ounce) '), ('mexicorn, with red and green peppers, drained', '1 time(s) (11 ounce) can '), ('honey mustard dressing', '1  time(s) cup '), ('mandarin orange segments, drained', '1 time(s) (1 ounce) can '), ('slivered almonds, toasted if desired', '0.5 time(s) cup ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a ingredients recipe under 204 calories.,"Easy Lemonade - 204.7 calories, 0.3g protein, ready in 5 minutes.",Easy Lemonade,True,exact,True,True,False,{'calories_max': 204.0},"{'calories': 204.7, 'protein': 0.3, 'duration': 5.0}",[],"Easy Lemonade - 161 calories, 1.0g protein, 4mg sodium, ready in 3 minutes, serves 8. Ingredients: {'': [('water', '1  time(s) pint '), ('lemons (or to your liking)', '6  time(s) '), ('sugar', '1 1/2 time(s) cups ')]}",fix_claims,numeric claims diverged (matched_by=exact)
List a low-sodium recipe under 251mg sodium.,"Cranberry Sauce - 203.0mg sodium, 65.2 calories, 35 minutes prep time.",Cranberry Sauce,True,exact,True,True,False,"{'calories_max': 251.0, 'sodium_max': 251.0}","{'calories': 65.2, 'sodium': 203.0, 'duration': 35.0}",[],"cranberry sauce - 133 calories, 0.2g protein, 14mg sodium, ready in 55 minutes, serves 8. Ingredients: {'': [('frozen cranberries', '12  time(s) ounces '), ('red currant jelly', '12  time(s) ounces ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a balanced meal with moderate calories and good protein.,"Minty Peas - 60.7 calories, 2.5g protein, 3.3g fat, 9.5g carbs.",Minty Peas,True,substring,False,True,False,{'balanced': True},"{'calories': 60.7, 'protein': 2.5, 'carbs': 9.5, 'total_fat': 3.3}",[],"Minty Peas & Onions - 220 calories, 5.3g protein, 303mg sodium, ready in 35 minutes, serves 6. Ingredients: {'': [('unsalted butter or 1/2 cup $template2$', '0.5 time(s) cup '), ('frozen green peas, thawed', '20  time(s) ounces '), ('medium onion, slivered', '1  time(s) '), ('salt', '0.5 time(s) teaspoon '), ('fresh ground black pepper', '0.25 time(s) teaspoon '), ('sugar', '1  time(s) teaspoon '), ('fresh mint leaves, packed, thinly sliced', '0.3333333333333333 time(s) cup ')]}",fix_claims,numeric claims diverged (matched_by=substring)
Suggest a balanced meal with moderate calories and good protein.,"Chicken Noodle Soup - 140.2 calories, 9.3g protein, 1.4g fat, 23.0g carbs.",Chicken Noodle Soup,True,exact,True,True,False,{'balanced': True},"{'calories': 140.2, 'protein': 9.3, 'carbs': 23.0, 'total_fat': 1.4}",[],"Chicken Noodle Soup - 401 calories, 29.6g protein, 612mg sodium, ready in 180 minutes, serves 12. Ingredients: {'': [('vegetable oil', '2  time(s) tablespoons '), ('medium onions, chopped', '2  time(s) '), ('medium carrots, cut into 1/4-inch-thick slices', '3  time(s) '), ('chickens', '1 time(s) (6 -7 lb) roasting '), ('or 2 quarts $template2$', '2  time(s) quarts chicken broth (see recipe below) '), ('quart cold water (or more)', '1  time(s) '), ('sprigs fresh parsley', '4  time(s) '), ('$template2$', '3  time(s) sprigs fresh thyme or 1/2 teaspoon '), ('bay leaf', '1  time(s) '), ('salt & freshly ground black pepper', ' time(s) '), ('egg noodles', '2  time(s) cups ')]}",fix_claims,numeric claims diverged (matched_by=exact)
List a low-sodium recipe under 50mg sodium.,"Baked Cornish Hens - 45.9mg sodium, 400.9 calories, 55 minutes prep time.",Baked Cornish Hens,True,fuzzy,False,True,False,"{'calories_max': 50.0, 'sodium_max': 50.0}","{'calories': 400.9, 'sodium': 45.9, 'duration': 55.0}",[],"Baked Cornish Game Hens - 485 calories, 48.3g protein, 326mg sodium, ready in 70 minutes, serves 2. Ingredients: {'': [('cornish hens', '2  time(s) '), ('butter', '0.25 time(s) cup '), ('lemon juice', '3  time(s) teaspoons '), ('rosemary', '0.5 time(s) teaspoon '), ('garlic clove, pressed', '1  time(s) ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
Suggest a ingredients recipe around 9185 calories.,"Dad's Chicken Fingers - 9185.2 calories, 63.2g protein, ready in 25 minutes.",Dad's Chicken Fingers,True,fuzzy,False,True,False,"{'calories_min': 9135.0, 'calories_max': 9235.0}","{'calories': 9185.2, 'protein': 63.2, 'duration': 25.0}",[],"Judy's Chicken Fingers - 273 calories, 20.3g protein, 284mg sodium, ready in 65 minutes, serves 6. Ingredients: {'': [('margarine', '0.25 time(s) cup '), ('egg, well beaten', '1  time(s) '), ('milk', '2  time(s) tablespoons '), ('instant potato flakes', '1  time(s) cup '), ('garlic (or to taste)', '1  time(s) teaspoon '), ('grated parmesan cheese', '0.5 time(s) cup '), ('boneless chicken breasts', '3  time(s) ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
Recommend a high-fiber recipe with at least 6g fiber.,"Gingerbread - 8.2g dietary fiber, 258.1 calories, 62.7g total carbs.",Gingerbread,True,exact,True,True,False,{'fiber_min': 6.0},"{'calories': 258.1, 'fiber': 8.2}",[],"GingerBread - 3354 calories, 59.1g protein, 2910mg sodium, ready in 60 minutes. Ingredients: {'': [('flour', '3  time(s) cups '), ('baking powder', '2 1/2 time(s) teaspoons '), ('baking soda', '0.5 time(s) teaspoon '), ('salt', '0.5 time(s) teaspoon '), ('allspice', '1  time(s) teaspoon '), ('substitute (to equal 2 eggs)', ' time(s) egg '), ('oil', '0.5 time(s) cup '), ('molasses', '0.5 time(s) cup '), ('soymilk', '1  time(s) cup '), ('vinegar', '1  time(s) teaspoon '), ('fresh ginger, grated', '3 -6  time(s) tablespoons '), ('crystallized ginger, chopped (optional)', '0.5 time(s) cup '), ('walnuts', '0.5 time(s) cup ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Find a high-protein recipe with at least 8g protein.,"Honey-Orange-Ginger Glazed Chicken - 10.3g protein, 228.0 calories, 8.6g fat, 5.9g carbs.",Honey,True,substring,True,True,False,{'protein_min': 8.0},"{'calories': 228.0, 'protein': 10.3, 'carbs': 5.9, 'total_fat': 8.6}",[],"Potato Honey Buns - 516 calories, 35.8g protein, 474mg sodium, ready in 190 minutes. Ingredients: {'': [('potato water (warm or plain water)', '0.25 time(s) cup '), ('milk', '3  time(s) tablespoons '), ('vegetable oil', '0.3333333333333333 time(s) cup '), ('honey', '0.3333333333333333 time(s) cup '), ('mashed potatoes', '0.5 time(s) cup '), ('salt', '1 1/2 time(s) teaspoons '), ('egg, beaten', '1  time(s) '), ('flour', '3  time(s) cups '), ('yeast (1 package)', '25  time(s) ounces ')]}",fix_claims,numeric claims diverged (matched_by=substring)
